# Every forbidden core build requirement, and where this tree still requires it.
#
# The vocabulary is `forbidden_core_build_requirements` in
# spec/native-toolchain-v1/contract.json — RFC-0018, accepted 2026-08-11. This
# file never restates that list: the checker reads the contract and refuses a
# requirement there with no detector here, so a fifteenth one cannot arrive and
# quietly read as zero.
#
# `node tooling/forbidden-requirements/check.mjs` fails in BOTH directions, the
# way tests/assertions/budget.tsv and tooling/gate-reachability/unreachable.tsv
# do: a use that is not listed is a dependency that arrived unrecorded, and a
# listed row whose use is gone is an improvement that was not recorded. The
# second direction is the one that is usually missing, and this repository has
# already paid for its absence — #1213 replaced GNU `sha256sum` with
# `bin/kofun-digest`, and #1395 then found a release claim still asserting the
# removed dependency.
#
# Regenerate the rows with `--count`. Print the file set and every pattern with
# `--predicates`: a count is only meaningful with its predicate attached, and
# both halves can be too narrow at once — this repository shipped "46 gate
# scripts shell out to node" when the answer over all tracked `.sh` was 70.
#
# There is no evidence stamp on this file on purpose. Every row is re-derived
# from the tree on every run, so a row that stopped being true fails rather than
# ages. The narrative counts in #1451 and #1452 are the ones that need stamps.
#
# kind   `invoke`  a command-position invocation: the build shells out to it
#        `source`  the file is written in that language, so running it requires
#                  the tool whether or not anything invokes it by name
#        `-`       the requirement has no uses at all; count 0, path `-`. A
#                  requirement with no row would be indistinguishable from one
#                  nobody examined, so zero is stated rather than omitted.
# class  `required-today` or `removable`. `required-today` is the default and
#        claims nothing; `removable` is a claim someone checked. The checker
#        reports the split, so this ledger measures the gap and not only the
#        surface.
#
# What is deliberately outside the scanned file set, and why it is not hidden:
# `*.c`/`*.h` require a C compiler and contain no line that invokes one, so the
# checker prints their total as a NOTE instead of pretending it counted them.
#
# need   Derived, not chosen — the answer to the question B6 and B7 are stated
#        in terms of: must an independent builder obtain this to run
#        `task verify`? A count of uses is not that number, and the two differ
#        in both directions.
#
#          `required`  on the verify path, and not skippable
#          `optional`  on the verify path, but every use sits behind an
#                      availability guard whose failure branch skips
#          `off-path`  every task naming the file is one nothing runs
#          `unknown`   the rules could not tell
#
#        It is stored AND recomputed, so a hand-edited value is not a
#        preference — it is a claim the tree contradicts. That is what keeps
#        this from being a suppression list: `bin/kofun`'s `cc` rows cannot be
#        moved to `optional`, because its invocations are unguarded.
#
#        `unknown` is a value and never a default. A rule that resolved its
#        hard cases downward would shrink the headline for the reason least
#        connected to the tree. Twenty rows are `unknown` today and the
#        summary prints the number even when it is zero.
#
# What #1459 was filed to fix, and what it found instead: it assumed
# `examples/rust-shim`'s `cargo` and `rustc` were the permitted
# `allowed_external_boundary` misfiled as core requirements. They are not.
# `examples/rust-shim/check.sh` exits 1 without them and `rust-shim` is in the
# verify list, so `task verify` hard-requires a Rust toolchain. One of the
# three rows it named — `scripts/graphify.sh`'s `python` — is genuinely off the
# build path, and the `need` column is how that is now said.
#
# unknown-ceiling: 31
#
# The bound on `unknown`, checked in BOTH directions like
# tests/assertions/budget.tsv: over it is a use the rules could not classify
# arriving as an ordinary row, under it is an improvement that was not
# recorded. Raising it is a deliberate edit with a reason, in the same commit
# as the row that needed it.
#
# It exists because the two directions of this column are not equally safe. A
# rule that *stops working* fails loudly — removing one of the four naming
# rules in reach.mjs moves 39 rows into `unknown` and each one contradicts its
# stored value by name. A use *arriving* unclassifiable produces a new row, and
# a new row is the ordinary flow (#1474).
#
# requirement	kind	count	class	need	path
cc	invoke	7	required-today	optional	tests/conformance/modules/re-exports/run.sh
cc	invoke	1	required-today	required	tests/conformance/modules/shadowing/run.sh
cc	invoke	2	required-today	required	tests/conformance/modules/stage2-kif-producer/run.sh
cc	invoke	2	required-today	required	tests/conformance/modules/top-level-declarations/run.sh
cc	invoke	1	required-today	required	tests/conformance/modules/visibility-access/run.sh
cc	invoke	1	required-today	required	tests/conformance/modules/visibility-syntax/run.sh
cc	invoke	3	required-today	required	tests/conformance/optional-coalescing/run.sh
cc	invoke	2	required-today	required	tests/conformance/optional-construction/run.sh
cc	invoke	3	required-today	required	tests/conformance/optional-narrowing/run.sh
cc	invoke	3	required-today	required	tests/conformance/optional/run.sh
cc	invoke	4	required-today	required	tests/conformance/records/run.sh
cc	invoke	1	required-today	required	tests/conformance/stage1-adapter/check.sh
cc	invoke	17	required-today	required	tests/conformance/syntax/issues_35_47/run.sh
cc	invoke	3	required-today	required	tests/conformance/syntax/issues_48_60/run.sh
cc	invoke	5	required-today	required	tests/conformance/text-results/run.sh
cc	invoke	4	required-today	required	tests/conformance/trait-dictionary-c11/run.sh
cc	invoke	3	required-today	required	tests/conformance/traits/run.sh
cc	invoke	1	required-today	unknown	tests/diagnostics/c-abi/run.sh
cc	invoke	1	required-today	unknown	tests/diagnostics/native/run.sh
cc	invoke	1	required-today	unknown	tests/diagnostics/runtime/run.sh
cc	invoke	1	required-today	unknown	tests/diagnostics/unicode/run.sh
cc	invoke	1	required-today	required	tests/diagnostics/visibility-api-leaks.sh
cc	invoke	2	required-today	required	tests/docs/documentation-index.sh
cc	invoke	2	required-today	required	tests/enum-match-value/check.sh
cc	invoke	2	required-today	required	tests/fuzz/enum_match.sh
cc	invoke	1	required-today	required	tests/fuzz/hm_levels.sh
cc	invoke	1	required-today	required	tests/fuzz/match_guard.sh
cc	invoke	1	required-today	required	tests/fuzz/match_value.sh
cc	invoke	2	required-today	required	tests/fuzz/optional_narrowing.sh
cc	invoke	1	required-today	required	tests/fuzz/pure_io.sh
cc	invoke	1	required-today	required	tests/fuzz/value_if.sh
cc	invoke	2	required-today	required	tests/fuzz/visibility-artifacts.sh
cc	invoke	1	required-today	optional	tests/http/check.sh
cc	invoke	2	required-today	required	tests/interfaces/visibility-filtering.sh
cc	invoke	6	required-today	required	tests/interop/bindgen-c/check-sanitizers.sh
cc	invoke	4	required-today	required	tests/interop/bindgen-c/check.sh
cc	invoke	2	required-today	required	tests/module-constants/check.sh
cc	invoke	2	required-today	required	tests/modules/extern-c/check.sh
cc	invoke	2	required-today	required	tests/modules/inventory/check.sh
cc	invoke	3	required-today	required	tests/ownership/affine-resource-handle/check.sh
cc	invoke	3	required-today	unknown	tests/package_manager.sh
cc	invoke	1	required-today	required	tests/security/module-interface-artifact.sh
cc	invoke	8	required-today	required	tests/stage2/list-int-signatures/run.sh
cc	invoke	8	required-today	required	tests/stage2/list-int-values/run.sh
cc	invoke	4	required-today	required	tests/stage2/record-values/run.sh
cc	invoke	4	required-today	required	tests/stage2/text-escapes/run.sh
cc	invoke	4	required-today	required	tests/stage2/unused-function/run.sh
cc	invoke	5	required-today	required	tests/stdlib/benchmark-report-model/check.sh
cc	invoke	4	required-today	required	tests/stdlib/benchmark-report-model/compare.sh
cc	invoke	1	required-today	required	tests/stdlib/clock-adapters/check-linux-x86_64.sh
cc	invoke	4	required-today	required	tests/stdlib/kofun-digest-model/check.sh
cc	invoke	1	required-today	required	tests/stdlib/tzdb/check.sh
cc	invoke	2	required-today	required	tests/tooling/discovery-sanitizer-reuse/check.sh
cc	invoke	4	required-today	required	tests/tooling/fuzz-sanitizer-reuse/check.sh
cc	invoke	17	required-today	required	tests/tooling/verify-object-reuse/check.sh
cc	invoke	1	required-today	required	tests/typed-sidecar/producer-races.sh
cc	invoke	1	required-today	required	tests/typed-sidecar/stage2-event-stream.sh
cc	invoke	11	required-today	required	tests/typed-sidecar/stage2-events.sh
cc	invoke	1	required-today	required	tests/typed-sidecar/stage2-projector.sh
cc	invoke	5	required-today	required	tests/unicode/run.sh
cc	invoke	1	required-today	required	tests/usability/check.sh
cc	invoke	2	required-today	required	tests/wasm-list-v1/check.sh
cc	invoke	2	required-today	required	tests/wasm-text-v1/check.sh
cc	invoke	5	required-today	required	tooling/bindgen-c/bindgen-c.mjs
cc	invoke	1	required-today	required	tooling/kotest/run.sh
cc	invoke	1	required-today	required	tooling/lsp/build-semantic-bundle.sh
c++	-	0	-	-	-
assembler	-	0	-	-	-
system-linker	invoke	1	required-today	required	bootstrap/c_abi/check.sh
system-linker	invoke	1	required-today	required	framework/cli/check.sh
rustc	invoke	2	required-today	required	bootstrap/c_abi/check.sh
rustc	invoke	1	required-today	unknown	examples/rust-shim/benchmark.sh
rustc	invoke	4	required-today	optional	tests/usability/check.sh
cargo	invoke	2	required-today	unknown	examples/rust-shim/benchmark.sh
cargo	invoke	4	required-today	required	examples/rust-shim/check.sh
cargo	invoke	2	required-today	required	tests/build_system.sh
zig	-	0	-	-	-
node	invoke	7	required-today	required	Taskfile.yml
node	invoke	6	required-today	required	bin/kofun
node	invoke	1	required-today	required	bootstrap/native/check-macho64-signed.sh
node	invoke	1	required-today	required	bootstrap/native/check-macho64.sh
node	invoke	1	required-today	required	bootstrap/native/check-pe32plus.sh
node	invoke	12	required-today	required	bootstrap/wasm/check.sh
node	invoke	2	required-today	required	bootstrap/wasm/object_arena_check.sh
node	invoke	2	required-today	required	docs/tour/check.sh
node	invoke	1	required-today	required	examples/check-law-evidence.sh
node	invoke	2	required-today	required	examples/check.sh
node	invoke	7	required-today	required	spec/adt-match-v2/check.sh
node	invoke	7	required-today	required	spec/aggregate-layout-v1/check.sh
node	invoke	6	required-today	required	spec/atomic-write-authority-v1/check.sh
node	invoke	6	required-today	required	spec/benchmark-report-v1/check.sh
node	invoke	13	required-today	required	spec/concurrency/schedule-trace/check.sh
node	invoke	3	required-today	optional	spec/concurrency/scoped-captures-v1/check.sh
node	invoke	4	required-today	optional	spec/concurrency/scoped-parallelism-v1/check.sh
node	invoke	4	required-today	required	spec/effects/affine-resumption/check.sh
node	invoke	1	required-today	required	spec/kif-generics-v1/check.sh
node	invoke	1	required-today	required	spec/native-toolchain-v1/check.sh
node	invoke	9	required-today	required	spec/reuse-candidate-v1/check.sh
node	invoke	4	required-today	required	spec/semantic-identity/check.sh
node	invoke	5	required-today	required	spec/syntax/call-arguments/check-surface.sh
node	invoke	3	required-today	required	spec/syntax/call-arguments/check.sh
node	invoke	4	required-today	required	spec/tooling/upgrade-patch/check.sh
node	invoke	4	required-today	required	spec/type-reduction-trace/check.sh
node	invoke	15	required-today	required	spec/typed-sidecar/check.sh
node	invoke	8	required-today	required	spec/wasi-command-profile-v1/check.sh
node	invoke	7	required-today	required	spec/wasi-command-projection-v1/check.sh
node	invoke	5	required-today	required	spec/wasi-host-matrix-v1/check.sh
node	invoke	15	required-today	required	spec/wasm-host-abi-v1/check.sh
node	invoke	6	required-today	required	spec/wasm-host-profile-v1/check.sh
node	invoke	3	required-today	optional	stdlib/date_time/tests/verify.sh
node	invoke	4	required-today	required	stdlib/decimal/tests/verify.sh
node	invoke	8	required-today	required	tests/artifact-qualification/check.sh
node	invoke	1	required-today	required	tests/backlog/check-stamps.sh
node	invoke	1	required-today	required	tests/backlog/check.sh
node	invoke	3	required-today	required	tests/backlog/self-test.sh
node	invoke	7	required-today	required	tests/conformance/aggregate-bridge/run.sh
node	invoke	1	required-today	required	tests/conformance/authority-carrier/run.sh
node	invoke	2	required-today	unknown	tests/conformance/backends/wasm32-node.sh
node	invoke	1	required-today	required	tests/conformance/call-arguments/run.sh
node	invoke	4	required-today	required	tests/conformance/effects/pure-boundary/run.sh
node	invoke	5	required-today	required	tests/conformance/effects/pure-io/run.sh
node	invoke	1	required-today	required	tests/conformance/int-bits-lowering/check.sh
node	invoke	3	required-today	required	tests/conformance/int-bits/run.sh
node	invoke	3	required-today	required	tests/conformance/optional-construction/run.sh
node	invoke	3	required-today	optional	tests/digest/check.sh
node	invoke	5	required-today	required	tests/docs/documentation-index.sh
node	invoke	2	required-today	unknown	tests/fuzz/adapters/arithmetic-wasm32-node.sh
node	invoke	2	required-today	required	tests/fuzz/pure_io.sh
node	invoke	14	required-today	required	tests/http/client-model/run.sh
node	invoke	2	required-today	required	tests/interfaces/visibility-filtering.sh
node	invoke	2	required-today	required	tests/interop/bindgen-c/check-fuzz.sh
node	invoke	1	required-today	required	tests/interop/bindgen-c/check-sanitizers.sh
node	invoke	7	required-today	required	tests/interop/bindgen-c/check.sh
node	invoke	14	required-today	required	tests/lsp/check.sh
node	invoke	5	required-today	required	tests/lsp/visibility.sh
node	invoke	9	required-today	required	tests/release/check-claims.sh
node	invoke	10	required-today	required	tests/rfc/check-registry.sh
node	invoke	2	required-today	required	tests/stage2/list-int-signatures/run.sh
node	invoke	4	required-today	required	tests/stage2/list-int-values/run.sh
node	invoke	2	required-today	required	tests/stage2/optional-pair/run.sh
node	invoke	5	required-today	required	tests/stdlib/benchmark-report-model/check.sh
node	invoke	6	required-today	required	tests/stdlib/benchmark-report-model/compare.sh
node	invoke	4	required-today	required	tests/stdlib/kofun-digest-model/check.sh
node	invoke	3	required-today	required	tests/tooling/ownership-view/run.sh
node	invoke	3	required-today	required	tests/tooling/task-help/check.sh
node	invoke	2	required-today	required	tests/typed-sidecar/atomic-write.sh
node	invoke	2	required-today	required	tests/typed-sidecar/authority-boundary.sh
node	invoke	3	required-today	required	tests/typed-sidecar/captures.sh
node	invoke	2	required-today	required	tests/typed-sidecar/cli.sh
node	invoke	3	required-today	required	tests/typed-sidecar/codec.sh
node	invoke	4	required-today	required	tests/typed-sidecar/producer-races.sh
node	invoke	4	required-today	required	tests/typed-sidecar/stage2-projector.sh
node	invoke	6	required-today	required	tests/wasm-list-v1/check.sh
node	invoke	4	required-today	required	tests/wasm-text-v1/check.sh
node	invoke	8	required-today	required	tests/wasm/wasi-command/check.sh
node	invoke	6	required-today	required	tooling/machine-dependent/check.sh
node	source	1	required-today	required	bootstrap/native/macho64-check.mjs
node	source	1	required-today	required	bootstrap/native/macho64-signed-check.mjs
node	source	1	required-today	required	bootstrap/native/pe32plus-check.mjs
node	source	1	required-today	required	bootstrap/wasm/object_arena_check.mjs
node	source	1	required-today	required	bootstrap/wasm/run.mjs
node	source	1	required-today	unknown	docs/tour/app.mjs
node	source	1	required-today	required	docs/tour/check.mjs
node	source	1	required-today	required	docs/tour/compiler.mjs
node	source	1	required-today	required	docs/tour/content.mjs
node	source	1	required-today	required	docs/tour/intelligence.mjs
node	source	1	required-today	required	docs/tour/kofun-kun.mjs
node	source	1	required-today	required	docs/tour/runtime.mjs
node	source	1	required-today	required	docs/tour/share.mjs
node	source	1	required-today	required	examples/wasm-browser/check.mjs
node	source	1	required-today	required	examples/wasm-browser/main.mjs
node	source	1	required-today	required	examples/wasm-browser/serve.mjs
node	source	1	required-today	required	spec/adt-match-v2/check.mjs
node	source	1	required-today	required	spec/adt-match-v2/model.mjs
node	source	1	required-today	required	spec/aggregate-layout-v1/layout.mjs
node	source	1	required-today	required	spec/atomic-write-authority-v1/check.mjs
node	source	1	required-today	required	spec/atomic-write-authority-v1/model.mjs
node	source	1	required-today	required	spec/benchmark-report-v1/check.mjs
node	source	1	required-today	required	spec/benchmark-report-v1/contract.mjs
node	source	1	required-today	required	spec/benchmark-report-v1/model.mjs
node	source	1	required-today	required	spec/concurrency/schedule-trace/model.mjs
node	source	1	required-today	required	spec/concurrency/scoped-captures-v1/check.mjs
node	source	1	required-today	required	spec/concurrency/scoped-captures-v1/model.mjs
node	source	1	required-today	required	spec/concurrency/scoped-parallelism-v1/check.mjs
node	source	1	required-today	required	spec/concurrency/scoped-parallelism-v1/model.mjs
node	source	1	required-today	required	spec/effects/affine-resumption/model.mjs
node	source	1	required-today	required	spec/kif-generics-v1/check.mjs
node	source	1	required-today	required	spec/kif-generics-v1/fixture.mjs
node	source	1	required-today	required	spec/kif-generics-v1/model.mjs
node	source	1	required-today	required	spec/native-toolchain-v1/check.mjs
node	source	1	required-today	required	spec/native-toolchain-v1/model.mjs
node	source	1	required-today	required	spec/reuse-candidate-v1/check.mjs
node	source	1	required-today	required	spec/reuse-candidate-v1/validate.mjs
node	source	1	required-today	required	spec/semantic-identity/check.mjs
node	source	1	required-today	required	spec/semantic-identity/independent-encoder.mjs
node	source	1	required-today	required	spec/semantic-identity/model.mjs
node	source	1	required-today	required	spec/syntax/call-arguments/check-surface.mjs
node	source	1	required-today	required	spec/syntax/call-arguments/check.mjs
node	source	1	required-today	required	spec/syntax/call-arguments/format.mjs
node	source	1	required-today	required	spec/syntax/call-arguments/model.mjs
node	source	1	required-today	required	spec/syntax/call-arguments/parser.mjs
node	source	1	required-today	required	spec/tooling/upgrade-patch/check.mjs
node	source	1	required-today	required	spec/tooling/upgrade-patch/model.mjs
node	source	1	required-today	required	spec/type-reduction-trace/validate.mjs
node	source	1	required-today	required	spec/typed-sidecar/make-invalid.mjs
node	source	1	required-today	required	spec/typed-sidecar/validate.mjs
node	source	1	required-today	required	spec/wasi-command-profile-v1/check.mjs
node	source	1	required-today	required	spec/wasi-command-profile-v1/contract.mjs
node	source	1	required-today	required	spec/wasi-command-profile-v1/model.mjs
node	source	1	required-today	required	spec/wasi-command-projection-v1/check.mjs
node	source	1	required-today	required	spec/wasi-command-projection-v1/model.mjs
node	source	1	required-today	required	spec/wasi-host-matrix-v1/check.mjs
node	source	1	required-today	required	spec/wasm-host-abi-v1/contract.mjs
node	source	1	required-today	required	spec/wasm-host-abi-v1/hostabi.mjs
node	source	1	required-today	required	spec/wasm-host-abi-v1/wasm.mjs
node	source	1	required-today	required	spec/wasm-host-profile-v1/surface.mjs
node	source	1	required-today	required	stdlib/date_time/tests/reference.mjs
node	source	1	required-today	required	stdlib/decimal/tests/float_counterexample.js
node	source	1	required-today	required	stdlib/decimal/tests/generate_law_evidence.mjs
node	source	1	required-today	required	stdlib/decimal/tests/ledger_tax_reference.mjs
node	source	1	required-today	required	stdlib/decimal/tests/validate_law_evidence.mjs
node	source	1	required-today	required	tests/artifact-qualification/make-invalid.mjs
node	source	1	required-today	required	tests/artifact-qualification/measure.mjs
node	source	1	required-today	required	tests/artifact-qualification/validate.mjs
node	source	1	required-today	required	tests/backlog/check-stamps.mjs
node	source	1	required-today	required	tests/backlog/check.mjs
node	source	1	required-today	required	tests/backlog/claim-refresh-self-test.mjs
node	source	1	required-today	required	tests/backlog/claim-refresh.mjs
node	source	1	required-today	required	tests/backlog/extract-self-test.mjs
node	source	1	required-today	required	tests/backlog/extract.mjs
node	source	1	required-today	required	tests/backlog/refresh.mjs
node	source	1	required-today	required	tests/conformance/aggregate-bridge/check-capability-truth.mjs
node	source	1	required-today	required	tests/conformance/aggregate-bridge/check-layout.mjs
node	source	1	required-today	required	tests/conformance/aggregate-bridge/check-production-field-access.mjs
node	source	1	required-today	required	tests/conformance/aggregate-bridge/check-sidecar.mjs
node	source	1	required-today	required	tests/conformance/effects/pure-boundary/report.mjs
node	source	1	required-today	required	tests/conformance/effects/pure-io/report.mjs
node	source	1	required-today	required	tests/conformance/int-bits/check-pair.mjs
node	source	1	required-today	required	tests/docs/audited-claim-metadata.mjs
node	source	1	required-today	required	tests/docs/documentation_index_test.mjs
node	source	1	required-today	required	tests/fuzz/hm_levels_oracle.mjs
node	source	1	required-today	required	tests/fuzz/pure_io_oracle.mjs
node	source	1	required-today	required	tests/http/client-model/build-corpus.mjs
node	source	1	required-today	required	tests/http/client-model/fragment.mjs
node	source	1	required-today	required	tests/http/client-model/model.mjs
node	source	1	required-today	required	tests/http/client-model/schema.mjs
node	source	1	required-today	required	tests/interop/bindgen-c/check-report.mjs
node	source	1	required-today	unknown	tests/interop/bindgen-c/fuzz/fuzz-macros.mjs
node	source	1	required-today	required	tests/interop/bindgen-c/make-abi-probe.mjs
node	source	1	required-today	required	tests/lib/json-schema.mjs
node	source	1	required-today	required	tests/lib/taskfile.mjs
node	source	1	required-today	required	tests/lsp/bridge_fallback_test.js
node	source	1	required-today	required	tests/lsp/client.js
node	source	1	required-today	required	tests/lsp/performance_test.js
node	source	1	required-today	required	tests/lsp/protocol_test.js
node	source	1	required-today	required	tests/lsp/semantic_sidecar_test.mjs
node	source	1	required-today	required	tests/lsp/visibility_test.js
node	source	1	required-today	required	tests/release/make-invalid.mjs
node	source	1	required-today	required	tests/release/validate-claims.mjs
node	source	1	required-today	required	tests/rfc/make-invalid.mjs
node	source	1	required-today	required	tests/rfc/validate-registry.mjs
node	source	1	required-today	required	tests/stage2/list-int-signatures/check-pair.mjs
node	source	1	required-today	required	tests/stage2/list-int-values/layout-check.mjs
node	source	1	required-today	required	tests/stage2/optional-pair/check.mjs
node	source	1	required-today	required	tests/stdlib/benchmark-report-model/oracle.mjs
