# Every bound in this tree whose verdict can depend on how busy the machine is,
# and why each one is tolerated (#1472).
#
# `node tooling/machine-dependent/check.mjs` fails in BOTH directions, the way
# tooling/gate-reachability/unreachable.tsv and
# tooling/forbidden-requirements/census.tsv do. A site with no row is a bound
# that arrived unrecorded. A row with no site is the direction that matters
# more: the fix for these rows is to stop being time-dependent, and without the
# reverse check nothing notices when one does.
#
# Regenerate the rows with `--count`; print the three searches with
# `--predicates`. A count is only meaningful with its predicate attached.
#
# CLASSIFY BY MARGIN, NOT BY CLOCK. Which clock a bound reads does not decide
# whether it is a finding. In tests/lsp/semantic_sidecar_test.mjs, `hover p95 <
# 2` and `decode/index p95 < 75` read the same clock three lines apart: the
# first has 66x headroom and the second has ranged 9.93 to 92.14ms in one day.
# DIAGNOSTIC_MAX_CPU_MS reads a CPU clock and still failed at 148.91 against
# 145. So `observed` carries the worst number anyone has recorded and the load
# it was taken at, and the checker computes headroom from it.
#
# class   `verdict`     the bound IS the assertion. Must carry an observation:
#                       "passed once" and "has margin" are different claims.
#         `unmeasured`  verdict-shaped, and nobody has recorded its range. Not
#                       a safe cell -- it means the category is unknown.
#         `backstop`    exists to stop a hang, set far above the expected cost,
#                       and the reason says what that cost is.
#         `indirect`    the bound here is a variable; another row holds the
#                       literal, and `evidence` names it.
#         `runtime`     product code -- a debounce, a poll interval, a lock
#                       wait. It cannot fail a build.
#         `domain`      a duration in the problem domain, not a measurement of
#                       this run. A UTC offset bound is not a machine dependency.
#
# observed  `<number><unit>@load<average>`, or `-` for classes that make no
#           margin claim. The load is required because a single observation of
#           a load-sensitive quantity says nothing about its range, and one
#           taken on a quiet box says least of all.
#
# THE UNMEASURED CEILING, checked in both directions.
#
# `unmeasured` is the honest answer and it is not the safe one, so it is
# bounded the way tooling/forbidden-requirements bounds `unknown` (#1474):
# over fails as a verdict-shaped bound arriving unmeasured, under fails as a
# measurement somebody took and did not record. Without it this class is where
# wrong answers go, which is the failure #1472 was filed about one level up.
#
# Two of the five are load-sensitive on their face and worth measuring first:
# tests/lsp/protocol_test.js at 1000ms, and tests/fuzz/grammar.sh at 2s — whose
# sibling tests/fuzz/semantic_runner.sh at 10s has already killed a verify.
#
# unmeasured-ceiling: 5
#
# site	file	count	bound	observed	class	evidence	reason
duration-comparison	stdlib/date_time/tests/reference.mjs	1	-64800s	-	domain	-	The negative half of the same UTC offset bound.
duration-comparison	stdlib/date_time/tests/reference.mjs	1	64800s	-	domain	-	An 18-hour UTC offset bound in the date-time reference model. A duration in the problem domain, not a measurement of this run; no machine can make it fail.
duration-comparison	tests/lsp/protocol_test.js	1	1000ms	-	unmeasured	-	deepMilliseconds, wall clock, on deep-delimiter diagnostics. The test computes the number and only prints it on failure, so no range is recorded anywhere. Measuring it means reporting the value it already has; changing the bound is out of scope for #1472.
duration-comparison	tests/lsp/semantic_sidecar_test.mjs	2	2ms	0.030ms@load20	verdict	#1472 for hover; 0.010ms and 0.003ms measured here at load 1.93	hoverP95Ms and definitionP95Ms. 66x headroom on the worst recorded number, reading the same clock as the 75ms assertion three lines above. Kept as a row because the ledger's job is to show that the clock is not what decides.
timeout-command	bootstrap/selfhost/check-compiler-driver.sh	2	${selfhost_timeout_seconds}s	-	indirect	the selfhost_timeout_seconds row in this same file	The bound is the variable; the literal is the duration-budget row below.
timeout-command	bootstrap/selfhost/generations-lib.sh	1	${selfhost_timeout_seconds}s	-	indirect	the selfhost_timeout_seconds row in this same file	The bound is the variable; the literal is the duration-budget row below.
timeout-command	tests/conformance/run.sh	1	10s	-	unmeasured	-	Bounds one compiled conformance program, which prints and exits. Nothing records the slowest case, so whether 10s is two orders above the cost or one is not written down anywhere.
timeout-command	tests/fuzz/grammar.sh	1	2s	-	unmeasured	-	Bounds one Stage 2 compile of a generated program. The tightest timeout in the tree and the only one under five seconds; no per-case cost is recorded, so it cannot be called a backstop on the evidence available.
timeout-command	tests/fuzz/semantic_runner.sh	2	$TIMEOUT_SECONDS	-	indirect	the TIMEOUT_SECONDS row in this same file	The bound is the variable; the literal and the occasion it fired are the duration-budget row below.
timeout-command	tests/fuzz/visibility-artifacts.sh	1	$CASE_TIMEOUT	-	indirect	the CASE_TIMEOUT row in this same file	The bound is the variable; the literal and its rationale are the duration-budget row below.
timeout-command	tests/stage2/else-if-chain/run.sh	2	120s	-	backstop	same shape as tests/stage2/while-list-int/run.sh, which documents it	A `kofun run` of a three-branch fixture, guarded against a non-terminating lowering. Undocumented here, unlike its sibling gate; the expected cost is one `kofun run` and 120s is two orders above it.
timeout-command	tests/stage2/while-list-int/run.sh	2	60s	-	backstop	the comment above run_bounded in that file	The file states the rationale: the failure this slice can introduce is not a wrong answer but a loop that never returns one, so the bound exists to fail CI instead of hanging it.
duration-budget	tests/pair-coverage/measure.sh	1	600s	-	backstop	the corpus phase timings in the header of tests/pair-coverage/undefended.tsv	KOFUN_PAIR_COVERAGE_TIMEOUT, bounding ONE compile of one pinned *.kofun input. Measured on the run that produced the ledger: the corpus phase drove 2566 invocations in 754s under gcc and 877s under clang, a mean of 0.29s and 0.34s each. No load sampler was active, so no load value is attributed to this run. The bound is about 1,800 times the slower mean. It exists because an input that times out leaves its branches untaken and would be reported as undefended -- a fabricated finding -- so the harness must treat a timeout as a measurement failure rather than a slow input.
timeout-command	tests/pair-coverage/measure.sh	1	$INPUT_TIMEOUT	-	indirect	the 600s duration-budget row for this same file	The variable the timeout command reads. Its literal is the 600s row above; this site holds no number of its own.
duration-budget	tests/pair-coverage/measure.sh	1	120s	-	backstop	the tests/fuzz/semantic_runner.sh row in this file, which records its 10s default firing at load 17	KOFUN_SEMANTIC_TIMEOUT, raised from that gate own 10s default for the duration of a coverage run. The default has fired -- this ledger records it at headroom 1.0 -- so the cost to clear is about 10s under load, and 120s is twelve times it. Raised rather than left alone because this run measures WHICH branches execute, not how fast: the binary it drives is built -O0 --coverage and is several times slower than the -O2 one that bound was calibrated against, and a backstop that fires would turn a slow-but-correct gate into a failed driver whose unreached branches get reported as undefended. Raising a bound cannot make a gate pass that would fail on its assertions.
duration-budget	tests/pair-coverage/measure.sh	1	300s	-	backstop	the tests/fuzz/visibility-artifacts.sh row in this file, which states the slowest case finishes well inside a second	KOFUN_VISIBILITY_FUZZ_TIMEOUT, raised from that gate own 30s default for the same reason and under the same instrumentation. This ledger already classifies the 30s default a backstop on the grounds that the slowest case finishes well inside a second, so 300s is over three hundred times the stated cost.
